division,sub-division,package,firm,completion_status,STATUS,ORDER,ALLOCATION,DAT_ALLOC_POLES,DAT_ALLOC_CABLE,ADD_POLE,ADD_CABLE,TOTAL
BISHNUPUR,BISHNUPUR,BPR,M/S. SJS ELECTRICALS,,IN_PROGRESS,1,100,2016-08-10,2016-08-10,,,8
BISHNUPUR,KUMBI,KUMBI 1,M/S. LR. AGENCY,,NOT_STARTED,,101,2016-09-27,2016-09-27,,,6
BISHNUPUR,KUMBI,KUMBI 2,M/S. RK SONARJIT SINGH,,IN_PROGRESS,,102,2016-08-24,2016-08-24,,,5
BISHNUPUR,MOIRANG,MOIRANG 1,M/S. MOIRANGTHEM BIJEN,,IN_PROGRESS,,103,2016-08-24,2016-08-24,,,6
BISHNUPUR,MOIRANG,MOIRANG 2,M/S. RK ANJU,,IN_PROGRESS,,104,2016-08-24,2016-08-24,,,6
BISHNUPUR,MOIRANG,MOIRANG 3,M/S. LAISHRAM BIRAMANGOL,,NOT_STARTED,,105,2016-09-16,2016-09-16,,,8
BISHNUPUR,MOIRANG,MOIRANG 4,M/S. HVS CONSTRUCTION,,IN_PROGRESS,,106,2016-06-30,2016-07-19,,,12
BISHNUPUR,MOIRANG,MOIRANG 5,M/S. M.JOTINDRO,,NOT_STARTED,,107,2016-09-16,2016-09-16,,,8
BISHNUPUR,MOIRANG,MOIRANG 6,M/S. YEK SALAI,,NOT_STARTED,,108,2016-09-28,2016-09-28,,,7
BISHNUPUR,MOIRANG,MOIRANG 7,M/S. KEISHAM LUKHENDRO,,NOT_STARTED,,109,2016-09-16,2016-09-16,,,10
BISHNUPUR,NAMBOL,NAMBOL 1,M/S. GROWTH CONSULTANCY,,IN_PROGRESS,,110,2016-08-24,2016-08-24,,,8
BISHNUPUR,NAMBOL,NAMBOL 2,M/S. NONGTHOMBAM IBOM,,IN_PROGRESS,,111,2016-08-24,2016-08-24,,,9
BISHNUPUR,NAMBOL,NAMBOL 3,M/S. RK SONARJIT SINGH,,IN_PROGRESS,,112,2016-06-30,2016-07-19,,,5
BISHNUPUR,NAMBOL,NAMBOL 4,M/S. YANGLEM JOYKUMAR,,IN_PROGRESS,,113,2016-06-30,2016-07-19,,,9
BISHNUPUR,NAMBOL,NAMBOL 5,M/S. OINAM TIKENDRA,,NOT_STARTED,,114,2016-08-24,2016-08-24,,,7
BISHNUPUR,NAMBOL,NAMBOL 6,M/S. KHOIROM INGOBI,,NOT_STARTED,,115,2016-08-24,2016-08-24,,,6
IED -II,KSD,KSD1,M/S. DEE ES ELECTRICAL,,IN_PROGRESS,,116,2016-05-22,2016-06-20,,,11
